Artist 1,Artist 2,Popular Collab,URL,Popularity,Artist From
Marshmello,DJ Snake,Let Me Love You - Marshmello Remix,https://open.spotify.com/track/6Hx9gLuAKkOfoZoL79OSI1,45.0,Artists from Same Playlist
Marshmello,Megan Thee Stallion,Bad Bitches (feat. Megan Thee Stallion),https://open.spotify.com/track/2OYfxjLnQuPo7Co1WH0Z1S,36.0,Artists from Same Playlist
Dua Lipa,David Guetta,Sweetest Pie - David Guetta Dance Remix,https://open.spotify.com/track/5xUJYQA7f6WU77N8VDASBH,42.0,Artists from Same Playlist
Dua Lipa,Mark Ronson,Electricity,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,66.0,Artists from Same Playlist
Dua Lipa,Miley Cyrus,Prisoner (feat. Dua Lipa),https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B,70.0,Artists from Same Playlist
Dua Lipa,Tainy,UN DIA (ONE DAY) (Feat. Tainy),https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,67.0,Artists from Same Playlist
Dua Lipa,Martin Garrix,Scared to Be Lonely,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,78.0,Artists from Same Playlist
Dua Lipa,Megan Thee Stallion,Sweetest Pie,https://open.spotify.com/track/3JXF3LsUjyDIHjuwhXxdjo,64.0,Artists from Same Playlist
Grey,Maren Morris,The Middle,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,76.0,Artists from Same Playlist
Grey,Camila Cabello,Crown (with Camila Cabello & Grey),https://open.spotify.com/track/7qrMWXNwE1aD1o1sBnyIAh,41.0,Artists from Same Playlist
Grey,Zedd,The Middle,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,76.0,Artists from Same Playlist
Grey,Selena Gomez,Same Old Love - Grey Remix,https://open.spotify.com/track/0OufsCd9tCvEoAsXK7uJRW,21.0,Artists from Same Playlist
David Guetta,Bruno Mars,Versace on the Floor (Bruno Mars vs. David Guetta),https://open.spotify.com/track/5UJshy5HDHdNEVqlJwzsQB,57.0,Artists from Same Playlist
David Guetta,Charlie Puth,Attention - David Guetta Remix,https://open.spotify.com/track/7ksmqYjUIkT7OFvvhw7Q7s,37.0,Artists from Same Playlist
David Guetta,Justin Bieber,2U (feat. Justin Bieber),https://open.spotify.com/track/61WR5FfGNLJxpLsAc61qWQ,62.0,Artists from Same Playlist
David Guetta,BTS,My Universe - David Guetta Remix,https://open.spotify.com/track/5FvxRvrQ8qzKjBJ6ST9aiu,45.0,Artists from Same Playlist
David Guetta,Clean Bandit,Cry Baby,https://open.spotify.com/track/7oDSG2Q9RBU0QjgtfYQOdD,73.0,Artists from Same Playlist
David Guetta,Zara Larsson,On My Love,https://open.spotify.com/track/0dxp7DyPJEo6JhtnjUtBnN,65.0,Artists from Same Playlist
David Guetta,Coldplay,My Universe - David Guetta Remix,https://open.spotify.com/track/5FvxRvrQ8qzKjBJ6ST9aiu,45.0,Artists in Different Playlists
David Guetta,The Script,Goodbye Friend (feat. The Script),https://open.spotify.com/track/59naFBAHqgOUBzTTSCjYOK,34.0,Artists in Different Playlists
